FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
278362	41		Yb172Di		172Yb_NTB-A
278362	57		beadDist		beadDist
278363	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278363	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278363	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278363	30		Dy161Di		161Dy_NKp30
278363	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278363	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278363	49		Pt194Di		194Pt_cisplatin
278363	54		Offset		Offset
278364	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278364	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278364	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278364	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278364	46		BCKG190Di		190BCKG_BCKG
278364	50		Pt195Di		195Pt_cisplatin
278364	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278364	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278364	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278364	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278364	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278364	25		Gd156Di		156Gd_NKG2D
278365	1		Time		Time
278365	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278365	17		Nd148Di		148Nd_FcRg
278365	19		Nd150Di		150Nd_Syk
278365	26		Gd157Di		157Gd_TIGIT
278365	32		Dy163Di		163Dy_NKG2C
278365	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278366	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278366	8		In115Di	hCD3E, 115In	115In_CD3
278366	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278366	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278366	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278366	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278366	31		Dy162Di		162Dy_Siglec-7
278367	24		Gd155Di		155Gd_NKp46
278367	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278367	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278368	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278368	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278368	55		Width		Width
278369	6		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278369	17		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278369	21		Gd156Di		156Gd_NKG2D
278369	45		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278369	51		Yb172Di		172Yb_NTB-A
278370	19		Nd150Di		150Nd_Syk
278370	1		Time		Time
278370	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278370	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278370	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278370	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278370	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278370	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278370	41		Yb172Di		172Yb_NTB-A
278370	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278370	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278370	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278370	25		Gd156Di		156Gd_NKG2D
278370	26		Gd157Di		157Gd_TIGIT
278370	27		Gd158Di		158Gd_2B4
278371	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278371	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278371	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278371	26		Gd157Di		157Gd_TIGIT
278371	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278371	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278371	54		Offset		Offset
278342	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278342	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278342	19		Nd150Di		150Nd_Syk
278342	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278342	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278342	53		Center		Center
278343	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278343	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278343	31		Dy162Di		162Dy_Siglec-7
278343	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278343	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278343	17		Nd148Di		148Nd_FcRg
278343	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278343	25		Gd156Di		156Gd_NKG2D
278344	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278344	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278344	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278344	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278344	19		Nd150Di		150Nd_Syk
278344	25		Gd156Di		156Gd_NKG2D
278344	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278344	54		Offset		Offset
278345	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278345	17		Nd148Di		148Nd_FcRg
278345	19		Nd150Di		150Nd_Syk
278345	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278345	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278345	48		Ir193Di		193Ir_DNA-2
278345	50		Pt195Di		195Pt_cisplatin
278345	56		Residual		Residual
278346	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278346	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278346	51		Pt198Di		198Pt_cisplatin
278346	1		Time		Time
278346	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278346	9		Ce140Di		140Ce_BEADS
278346	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278346	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278346	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278346	28		Tb159Di		159Tb_DNAM-1
278347	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278347	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278347	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278347	30		Dy161Di		161Dy_NKp30
278347	31		Dy162Di		162Dy_Siglec-7
278347	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278347	55		Width		Width
278347	57		beadDist		beadDist
278348	9		Ce140Di		140Ce_BEADS
278348	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278348	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278348	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278348	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278348	47		Ir191Di		191Ir_DNA-1
278348	50		Pt195Di		195Pt_cisplatin
278348	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278348	55		Width		Width
278349	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278349	25		Gd156Di		156Gd_NKG2D
278349	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278350	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278350	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278350	19		Nd150Di		150Nd_Syk
278350	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278350	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278350	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278351	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278351	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278351	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278351	28		Tb159Di		159Tb_DNAM-1
278351	30		Dy161Di		161Dy_NKp30
278351	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278351	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278351	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278352	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278352	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278352	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278352	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278353	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278353	1		Time		Time
278354	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278354	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278354	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278354	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278354	56		Residual		Residual
278355	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278355	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278355	50		Pt195Di		195Pt_cisplatin
278355	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278355	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278355	25		Gd156Di		156Gd_NKG2D
278355	28		Tb159Di		159Tb_DNAM-1
278356	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278356	17		Nd148Di		148Nd_FcRg
278356	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278356	27		Gd158Di		158Gd_2B4
278356	28		Tb159Di		159Tb_DNAM-1
278356	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278356	41		Yb172Di		172Yb_NTB-A
278356	51		Pt198Di		198Pt_cisplatin
278357	2		Event_length		Event_length
278357	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278357	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278357	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278357	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278357	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278357	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278357	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278357	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278357	47		Ir191Di		191Ir_DNA-1
278357	50		Pt195Di		195Pt_cisplatin
278358	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278358	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278358	28		Tb159Di		159Tb_DNAM-1
278358	53		Center		Center
278359	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278359	8		In115Di	hCD3E, 115In	115In_CD3
278359	28		Tb159Di		159Tb_DNAM-1
278359	32		Dy163Di		163Dy_NKG2C
278359	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278359	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278360	1		Time		Time
278360	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278360	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278360	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278360	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278360	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278360	41		Yb172Di		172Yb_NTB-A
278360	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278361	17		Nd148Di		148Nd_FcRg
278361	2		Event_length		Event_length
278361	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278361	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278361	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278361	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278361	57		beadDist		beadDist
278362	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278362	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278362	24		Gd155Di		155Gd_NKp46
278362	31		Dy162Di		162Dy_Siglec-7
278362	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278362	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278362	46		BCKG190Di		190BCKG_BCKG
278362	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278363	19		Nd150Di		150Nd_Syk
278363	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278363	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278363	32		Dy163Di		163Dy_NKG2C
278363	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278363	48		Ir193Di		193Ir_DNA-2
278364	39		Er170Di		170Er_KIR2DL5
278364	41		Yb172Di		172Yb_NTB-A
278364	56		Residual		Residual
278364	1		Time		Time
278364	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278364	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278365	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278365	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278365	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278365	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278365	31		Dy162Di		162Dy_Siglec-7
278365	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278365	41		Yb172Di		172Yb_NTB-A
278365	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278365	49		Pt194Di		194Pt_cisplatin
278365	53		Center		Center
278365	55		Width		Width
278366	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278366	19		Nd150Di		150Nd_Syk
278366	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278366	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278367	2		Event_length		Event_length
278367	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278367	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278367	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278367	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278367	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278367	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278367	52		Bi209Di	hFCGR3A, 209Bi	209Bi_CD16
278367	54		Offset		Offset
278368	26		Gd157Di		157Gd_TIGIT
278368	27		Gd158Di		158Gd_2B4
278368	46		BCKG190Di		190BCKG_BCKG
278368	50		Pt195Di		195Pt_cisplatin
278369	11		Dy163Di		163Dy_NKG2C
278369	12		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278369	25		Ho165Di	hCD96, 165Ho	165Ho_CD96
278369	26		In115Di	hCD3E, 115In	115In_CD3
278369	30		Nd142Di	hCD69, 142Nd	142Nd_CD69
278369	33		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278369	35		Nd148Di		148Nd_FcRg
278369	42		Residual		Residual
278369	54		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278370	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278370	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278371	2		Event_length		Event_length
278371	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278371	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278371	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278371	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278371	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278371	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278342	1		Time		Time
278342	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278342	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278342	41		Yb172Di		172Yb_NTB-A
278342	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278342	46		BCKG190Di		190BCKG_BCKG
278342	57		beadDist		beadDist
278343	1		Time		Time
278343	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278343	48		Ir193Di		193Ir_DNA-2
278343	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278343	19		Nd150Di		150Nd_Syk
278343	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278343	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278343	26		Gd157Di		157Gd_TIGIT
278344	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278344	17		Nd148Di		148Nd_FcRg
278344	24		Gd155Di		155Gd_NKp46
278344	26		Gd157Di		157Gd_TIGIT
278344	39		Er170Di		170Er_KIR2DL5
278344	51		Pt198Di		198Pt_cisplatin
278344	56		Residual		Residual
278345	8		In115Di	hCD3E, 115In	115In_CD3
278345	9		Ce140Di		140Ce_BEADS
278345	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278345	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278345	31		Dy162Di		162Dy_Siglec-7
278345	32		Dy163Di		163Dy_NKG2C
278345	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278345	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278345	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278345	51		Pt198Di		198Pt_cisplatin
278346	36		Er167Di	hKLRD1, 167Er	167Er_CD94
278346	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278346	39		Er170Di		170Er_KIR2DL5
278346	46		BCKG190Di		190BCKG_BCKG
278346	54		Offset		Offset
278346	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278346	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278346	8		In115Di	hCD3E, 115In	115In_CD3
278346	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278346	17		Nd148Di		148Nd_FcRg
278346	19		Nd150Di		150Nd_Syk
278346	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278346	25		Gd156Di		156Gd_NKG2D
278347	2		Event_length		Event_length
278347	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278347	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278347	39		Er170Di		170Er_KIR2DL5
278347	49		Pt194Di		194Pt_cisplatin
278348	8		In115Di	hCD3E, 115In	115In_CD3
278348	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278348	28		Tb159Di		159Tb_DNAM-1
278348	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278348	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278348	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278348	46		BCKG190Di		190BCKG_BCKG
278348	48		Ir193Di		193Ir_DNA-2
278348	49		Pt194Di		194Pt_cisplatin
278348	57		beadDist		beadDist
278349	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278349	1		Time		Time
278349	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278349	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278350	24		Gd155Di		155Gd_NKp46
278350	39		Er170Di		170Er_KIR2DL5
278351	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278351	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278351	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278351	25		Gd156Di		156Gd_NKG2D
278351	27		Gd158Di		158Gd_2B4
278351	32		Dy163Di		163Dy_NKG2C
278351	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278351	39		Er170Di		170Er_KIR2DL5
278351	49		Pt194Di		194Pt_cisplatin
278351	53		Center		Center
278352	2		Event_length		Event_length
278352	27		Gd158Di		158Gd_2B4
278352	49		Pt194Di		194Pt_cisplatin
278353	41		Yb172Di		172Yb_NTB-A
278353	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278353	19		Nd150Di		150Nd_Syk
278353	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278353	32		Dy163Di		163Dy_NKG2C
278354	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278354	26		Gd157Di		157Gd_TIGIT
278354	28		Tb159Di		159Tb_DNAM-1
278354	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278354	48		Ir193Di		193Ir_DNA-2
278354	51		Pt198Di		198Pt_cisplatin
278354	57		beadDist		beadDist
278355	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278355	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278355	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278355	5		Cd112Di	hHLA-DRA, 112Cd	112Cd_HLA-DR
278355	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278355	19		Nd150Di		150Nd_Syk
278356	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278356	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278356	22		Eu153Di	hKIR2DS4, 153Eu	153Eu_KIR2DS4
278356	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278356	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278356	47		Ir191Di		191Ir_DNA-1
278356	48		Ir193Di		193Ir_DNA-2
278357	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278357	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278357	8		In115Di	hCD3E, 115In	115In_CD3
278357	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278357	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278357	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278357	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278357	46		BCKG190Di		190BCKG_BCKG
278357	48		Ir193Di		193Ir_DNA-2
278357	51		Pt198Di		198Pt_cisplatin
278358	25		Gd156Di		156Gd_NKG2D
278358	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278358	56		Residual		Residual
278359	2		Event_length		Event_length
278359	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278359	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278359	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278359	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278359	54		Offset		Offset
278360	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278360	9		Ce140Di		140Ce_BEADS
278360	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278360	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278360	39		Er170Di		170Er_KIR2DL5
278360	54		Offset		Offset
278360	57		beadDist		beadDist
278361	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278361	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278361	37		Er168Di	hCXCR6, 168Er	168Er_CXCR6
278361	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278361	51		Pt198Di		198Pt_cisplatin
278361	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278361	26		Gd157Di		157Gd_TIGIT
278362	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278362	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278362	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278362	34		Ho165Di	hCD96, 165Ho	165Ho_CD96
278362	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278363	4		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278363	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278363	8		In115Di	hCD3E, 115In	115In_CD3
278363	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278363	23		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278363	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278363	46		BCKG190Di		190BCKG_BCKG
278363	47		Ir191Di		191Ir_DNA-1
278363	53		Center		Center
278364	31		Dy162Di		162Dy_Siglec-7
278364	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278364	2		Event_length		Event_length
278364	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278364	15		Nd146Di	hCD19, 146Nd	146Nd_CD19
278364	17		Nd148Di		148Nd_FcRg
278365	8		In115Di	hCD3E, 115In	115In_CD3
278365	10		Pr141Di	hCD38, 141Pr	141Pr_CD38
278365	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278365	27		Gd158Di		158Gd_2B4
278365	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278366	3		Y89Di	hB3GAT1, 89Y	89Y_CD57
278366	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278366	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278366	13		Nd144Di	hCD2, 144Nd	144Nd_CD2
278366	14		Nd145Di	hLILRB1, 145Nd	145Nd_LILRB1
278366	17		Nd148Di		148Nd_FcRg
278366	27		Gd158Di		158Gd_2B4
278366	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278366	42		Yb173Di	hKIR3DL1, 173Yb	173Yb_KIR3DL1
278366	45		Yb176Di	hPRF1, 176Yb	176Yb_Perforin
278366	54		Offset		Offset
278367	6		Cd113Di	hHLA-DRA, 113Cd	113Cd_HLA-DR
278367	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278367	25		Gd156Di		156Gd_NKG2D
278367	38		Tm169Di	hPDCD1, 169Tm	169Tm_PD1
278367	40		Yb171Di	hKLRC1, 171Yb	171Yb_NKG2A
278367	46		BCKG190Di		190BCKG_BCKG
278367	50		Pt195Di		195Pt_cisplatin
278367	55		Width		Width
278368	12		Nd143Di	143Nd, hCD14, hCD33	143Nd_CD14-CD33
278368	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278368	19		Nd150Di		150Nd_Syk
278368	20		Eu151Di	hSELL, 151Eu	151Eu_CD62L
278368	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
278368	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278368	32		Dy163Di		163Dy_NKG2C
278368	41		Yb172Di		172Yb_NTB-A
278368	43		Yb174Di	hNCAM1, 174Yb	174Yb_CD56
278368	44		Lu175Di	hKIR2DL3, 175Lu	175Lu_KIR2DL3
278369	3		Cd111Di	hHLA-DRA, 111Cd	111Cd_HLA-DR
278369	14		Er167Di	hKLRD1, 167Er	167Er_CD94
278369	16		Er170Di		170Er_KIR2DL5
278369	27		Ir191Di		191Ir_DNA-1
278369	40		Pt195Di		195Pt_cisplatin
278369	44		Sm149Di	hCD4, 149Sm	149Sm_CD4
278369	46		Sm154Di	hKIR2DS2, 154Sm	154Sm_KIR2DS2
278370	11		Nd142Di	hCD69, 142Nd	142Nd_CD69
278370	17		Nd148Di		148Nd_FcRg
278370	29		Gd160Di	160Gd, hFAS	160Gd_FAS-L
278370	31		Dy162Di		162Dy_Siglec-7
278370	33		Dy164Di	hNCR2, 164Dy	164Dy_NKp44
278370	35		Er166Di	hKIR2DL1, 166Er	166Er_KIR2DL1
278371	7		Cd114Di	hHLA-DRA, 114Cd	114Cd_HLA-DR
278371	16		Sm147Di	hCD8A, 147Sm	147Sm_CD8
278371	18		Sm149Di	hCD4, 149Sm	149Sm_CD4
278371	21		Sm152Di	hMKI67, 152Sm	152Sm_Ki-67
